text,correct,confidence
מסכן נפלת על העונה הכי משעממת,True,0.989
הכי לא מתאים,True,0.983
נסיך אלוף עולם,True,0.9323
מה אתה קשור אחי,True,0.9771
כל אחד חושב שהוא תותח,True,0.9457
את פשוט סתומה,False,0.8449
איזה סתומה את,False,0.9795
זה נשמע ממש סתום,False,0.7924
כולם פה ממש סתומים,False,0.7022
לכי לאחים שלך הסתומים,False,0.5163
איזה דפוקה את,False,0.668
זה נשמע דפוק לגמרי,False,0.8159
התגובה הזאת דפוקה,False,0.6835
את פשוט הזויה,False,0.8779
איזה הזויה את,False,0.9638
זה נשמע הזוי ברמות,False,0.98
כל מה שאמרת הזוי,False,0.986
את מתנהגת בצורה הזויה,False,0.9758
הוא הזוי ממש,False,0.6855
איזה ילד הזוי,False,0.8051
וואי הזויים,False,0.8987
איזה קרינג׳ זה,False,0.6871
את ממש קרינג׳,False,0.8661
זה אחד הקרינג׳ים שראיתי,False,0.6652
התגובה הזאת קרינג׳,False,0.9503
איזה מביכה את,False,0.9481
זה פשוט מביך,False,0.6666
כל הסיטואציה מביכה,False,0.9619
את מתנהגת בצורה מביכה,False,0.9441
זה פשוט הזיה,False,0.6409
זה נשמע כמו הזיה,False,0.8412
שמעי את פוסתמה,False,0.6136
את פוסתמה ברמות,False,0.7466
יואו תראו איזה פוסתמה,False,0.7597
סתום כבר אתה ממש חופר,False,0.8728
שמישהו יגיד לו לסתום,False,0.8729
סתמי!,False,0.9819
סתמי ילדה מעצבנת,False,0.8662
שמע אתה חתיכת מניאק,False,0.5787
ילד ערס,False,0.8595
איזה ערסית,False,0.6745
איכ אתה ממש ערס,False,0.7807
אתה אהבל רציני,False,0.7018
שמע אתה חתיכת אהבל,False,0.9331
איזה אהבל אתה,False,0.8334
איזה נחשה את,False,0.9909
שמעי את נחשה רצח,False,0.9792
יה מתרומם,False,0.9711
איזה ילד מתרומם,False,0.9249
אתה אנס,False,0.7206
נמאס שכולם פה אנסים,False,0.9557
עזאזאל מחכה לך,False,0.726
איזה דור של שבורות,False,0.7043
שמע איזה שבורה היא,False,0.9224
וואלה ילדה שבורה,False,0.9663
איזה נוער שבור,False,0.7845
בולישט,False,0.9559
שמע איזה בולישט,False,0.9098
ממש דוחה בולשיט רציני,False,0.9001
תנקה את הבולשיט,False,0.7339
אמן יחטפו אותך,False,0.9782
איך לא חטפו אותך,False,0.9897
שערבי יחטוף אותך,False,0.9197
אתה אחד המטומטמים,False,0.81
שחרר אותנו ממך אידיוט,False,0.7291
תחפשי מי ינענע אותך,False,0.8712
מי ינענע אותך,False,0.8902
מה זה השטויות האלה יא סתום,False,0.7504
אתה חי בסרט אחי,True,0.885
יא לוזר רציני,False,0.9497
אתה פשוט פדיחה,False,0.9352
אתה עושה צחוק מעצמך,True,0.5501
אתה נראה הזוי אחי,False,0.9553
יא אהבל תירגע,False,0.9151
אתה מדבר שטויות אחושרמוטה,False,0.6173
זה פשוט חרטא,True,0.6216
יא קרציה תפסיק כבר,False,0.9417
אתה חופר ברמות,True,0.9345
יא דפוק מה אתה עושה,False,0.7868
זה נראה זוועה אחי,True,0.9523
אתה אחד הלא קשורים,True,0.9611
יא מביך תוריד פרופיל,True,0.8447
יא סתום תשתוק כבר,False,0.8572
אתה מבזבז זמן לכולם,True,0.6484
זה נראה כמו עבודה של ילד,True,0.9457
יא חסר מושג,True,0.9455
אתה נראה אבוד לגמרי,True,0.9913
מה אתה מדבר שטויות,True,0.8097
יא סתום אין לך מושג,False,0.9621
יא מביך ברמות אחרות,False,0.9059
אתה נשמע מטומטם,False,0.5378
זה פשוט לא רמה,True,0.9209
אתה פשוט לא שווה,True,0.9638
מה אתה מנסה בכלל,True,0.9857
אתה פשוט לא מבין את זה,True,0.979
אתה אחד המביכים שראיתי,False,0.798
זה פשוט מביך לראות,True,0.8968
מה אתה חי בסרט,True,0.9171
יא סתום אתה טועה,False,0.9477
אתה פשוט לא בכיוון בכלל,True,0.9753
יא חופר נמאסת,True,0.9041
זה נראה כמו פדיחה רצינית,True,0.8849
אתה נשמע לא רציני,True,0.9854
יא דביל תפסיק כבר,False,0.7616
אתה עושה פדיחות לעצמך,True,0.8137
זה נראה לא מקצועי בכלל,True,0.9744
יא סתום מה אתה מבין,False,0.9025
אתה נראה כמו טעות,False,0.9838
יא אהבל תבדוק לפני שאתה מדבר,False,0.9434
אתה פשוט לא שם,True,0.9266
זה נראה על הפנים,True,0.9367
יא גמור אתה לא מבין כלום,True,0.9153
אתה נשמע הזוי לגמרי,True,0.9893
זה נראה כמו חרטא אחת גדולה,True,0.5775
יא טמבל תפסיק לבלבל,False,0.6175
זה נראה מביך אחי,True,0.8661
אתה נראה כאילו אין לך מושג,True,0.9874
מה זה השטויות האלה ברצינות,True,0.9143
יא סתום אתה לא בכיוון,False,0.9791
יא דביל תשתוק כבר,False,0.6709
אתה אחד הלא רציניים,True,0.8521
זה פשוט לא טוב בכלל,True,0.9741
יא חופר תפסיק,True,0.9264
זה נראה לא טוב בכלל,True,0.9923
יא סתום תפסיק כבר,False,0.8774
יא מביך תפסיק כבר,False,0.932
אתה נראה חסר מושג,True,0.9701
זה פשוט מביך לגמרי,True,0.8982
את סתומה,False,0.9006
יא אהבל מה נסגר איתך,False,0.9507
את לא שווה כלום,False,0.9632
יא ליצן תירגע,True,0.7574
יא מעפן תפסיק כבר,False,0.596
אתה נראה מגוחך,True,0.7098
יא גמור מה יש לך,True,0.9399
יא קרציה תפסיק,True,0.8752
נועה את ילדה שבורה,False,0.9189
איזה דור של שבורים,False,0.7921
את מסכנה ברמות,False,0.9764
את פשוט לא חכמה,True,0.9323
נשמה טובה,True,0.9906
את נשמה טובה באמת,True,0.9921
את נשמה אבל לא מבינה כלום,True,0.9867
ילד טוב אתה,True,0.987
אתה ילד טוב אבל קצת טיפש,False,0.6353
איזה חמוד אתה,True,0.7914
את אחלה,True,0.864
איזה ילד מהמם,True,0.7911
פשוט מושלם ילד נחת,True,0.8507
את אחלה אבל סתומה,False,0.9428
איזה ילד מהמם יש לך,True,0.8821
"יא מהממת , איזה שווה",True,0.9048
יואו איזה מצחיקים אתם,True,0.8452
