"text","label"
"יש פה הסבר די טוב","0"
"לא רע בכלל","0"
"אהבתי את הכנות","0"
"יש פה ערך","0"
"זה די שימושי","0"
"כל הכבוד על ההשקעה","0"
"נראה טוב בסך הכל","0"
"זה כן תרם לי","0"
"סבבה של תוכן","0"
"יש לך אחלה סגנון","0"
"זה היה זורם","0"
"אהבתי את העריכה פה","0"
"אני דווקא אהבתי","0"
"זה עובר טוב","0"
"יש כאן כמה נקודות חכמות","0"
"אני רואה מה ניסית להגיד","0"
"זה מובן יחסית","0"
"נחמד לראות תוכן כזה","0"
"יש פה כיוון טוב","0"
"אהבתי את הרעיון הכללי","0"
"זה כן עבד לי","0"
"מרגיש אמיתי ולא מתאמץ מדי","0"
"יש פה משהו טוב","0"
"זה דווקא כן מדבר אליי","0"
"נראה לי סבבה","0"
"זה דווקא מסקרן","0"
"יפה שעשית את זה פשוט","0"
"יש כאן גישה רגועה","0"
"זה כתוב טוב","0"
"לא רע בכלל האמת","0"
"נראה מושקע","0"
"אהבתי את ההצגה","0"
"זה בהחלט מעניין","0"
"זה היה סביר פלוס","0"
"יש פה פוטנציאל טוב","0"
"זה נשמע הגיוני","0"
"הרגת אותי מצחוק","0"
"וואי אני פיפי זה קורע!","0"
"ממש מצחיק","0"
"ראיתי את הסרטון מאה פעם","0"
"שפכתם אותייייי","0"
"זה בסדר גמור","0"
"אני דווקא נהניתי מזה","0"
"יש פה אחלה הסבר ראשוני","0"
"יש כאן תוכן סבבה","0"
"מרגיש מסודר ולא מבולגן","0"
"זה כן עזר להתחיל להבין","0"
"נחמד וקולע","0"
"זה מרגיש מדויק יחסית","0"
"סך הכל אחלה עבודה","0"
"מרגיש נגיש","0"
"זה דווקא ממש סביר","0"
"זה כן עושה סדר בראש","0"
"נראה לי אחלה","0"
"זה הטעות הכי גדולה שיכולת לעשות","0"
"בחור אמיץ אתה","0"
"אחי , אתה חי על הקצה","0"
"למה שתגיד לה את זה אפילו בצחוק? לא מצחיק","0"
"חחחחחח אני מתה עליכם","0"
"אימאלה נשברתי מצחוק","0"
"הסבתכת","0"
"ענקקקקקקקק","0"
"גאון חחחחחחחחח","0"
"איזה פחד","0"
"אוי ואבוי אחי","0"
"בדקתם שהוא בסדר?","0"
"נפלת על העונה הכי משעממת","0"
"הכי מגיע לך בעולם","0"
"שאפו אח","0"
"אין מצב שאתה המחליף","0"
"איזה מלך","0"
"שמע אתה לא מנחה טוב","0"
"מה איאמילה הלם","0"
"לאאא למה","0"
"מסכן נפלת על העונה הכי משעממת","0"
"הכי לא מתאים","0"
"נסיך אלוף עולם","0"
"מה אתה קשור אחי","0"
"כל אחד חושב שהוא תותח","0"
"את פשוט סתומה","1"
"איזה סתומה את","1"
"זה נשמע ממש סתום","1"
"את מדברת כמו סתומה","1"
"איזה ילד סתום","1"
"כולם פה ממש סתומים","1"
"לכי לאחים שלך הסתומים","1"
"את ממש דפוקה","1"
"איזה דפוקה את","1"
"זה נשמע דפוק לגמרי","1"
"התגובה הזאת דפוקה","1"
"את מתנהגת בצורה דפוקה","1"
"הוא ממש דפוק","1"
"איזה דפוק הוא","1"
"את פשוט הזויה","1"
"איזה הזויה את","1"
"זה נשמע הזוי ברמות","1"
"כל מה שאמרת הזוי","1"
"את מתנהגת בצורה הזויה","1"
"הוא הזוי ממש","1"
"איזה ילד הזוי","1"
"וואי הזויים","1"
"זה קרינג׳ ברמות","1"
"איזה קרינג׳ זה","1"
"את ממש קרינג׳","1"
"זה אחד הקרינג׳ים שראיתי","1"
"התגובה הזאת קרינג׳","1"
"איזה מביכה את","1"
"זה פשוט מביך","1"
"כל הסיטואציה מביכה","1"
"את מתנהגת בצורה מביכה","1"
"מביך ברמות איאמילה","1"
"זה פשוט הזיה","1"
"מה זה ההזיה הזאת","1"
"זה נשמע כמו הזיה","1"
"זה פשוט עלוב","1"
"איזה עלובה את","1"
"שמעי את פוסתמה","1"
"את פוסתמה ברמות","1"
"יואו תראו איזה פוסתמה","1"
"סתום כבר אתה ממש חופר","1"
"סתום נו","1"
"שמישהו יגיד לו לסתום","1"
"סתמי!","1"
"סתמי ילדה מעצבנת","1"
"סתום ילד","1"
"ילד מניאק","1"
"שמע אתה חתיכת מניאק","1"
"איזה מניאק אתה איכ","1"
"דור של מניאקים","1"
"אל תהי מניאקית","1"
"ילד ערס","1"
"איזה ערסית","1"
"איכ אתה ממש ערס","1"
"אתה אהבל רציני","1"
"שמע אתה חתיכת אהבל","1"
"איזה אהבל אתה","1"
"איזה נחשה את","1"
"שמעי את נחשה רצח","1"
"יה מתרומם","1"
"איזה ילד מתרומם","1"
"אתה הומו אה יה מתרומם","1"
"אתה אנס","1"
"מדינה של אנסים","1"
"נמאס שכולם פה אנסים","1"
"תזהר ממני בן אדם אנס","1"
"לך לעזאזאל","1"
"עזאזאל מחכה לך","1"
"איזה דור של שבורות","1"
"שמע איזה שבורה היא","1"
"וואלה ילדה שבורה","1"
"איזה נוער שבור","1"
"בולישט","1"
"שמע איזה בולישט","1"
"ממש דוחה בולשיט רציני","1"
"תנקה את הבולשיט","1"
"אמן יחטפו אותך","1"
"איך לא חטפו אותך","1"
"שערבי יחטוף אותך","1"
"שמע אתה מטומטם","1"
"אתה אחד המטומטמים","1"
"איזה מטומטם","1"
"אתה אידיוט","1"
"אתה ממש אידיוט","1"
"שחרר אותנו ממך אידיוט","1"
"אתה טמבל ברמות","1"
"שמע אתה טמבל","1"
"איזה טמבל אתה","1"
"אתה אפס","1"
"איזה ילד אפס","1"
"אתה אפס מאופס","1"
"איזה חרא","1"
"שמע זה חרא של סרטון","1"
"תחפשי מי ינענע אותך","1"
"מי ינענע אותך","1"
"את פשוט זבל של בן אדם","1"
"מה זה השטויות האלה יא סתום","1"
"יא דביל מה נסגר איתך","1"
"אתה חי בסרט אחי","0"
"יא לוזר רציני","1"
"מה אתה מזיין תשכל","1"
"אתה פשוט פדיחה","1"
"יא אפס תתעורר","1"
"אתה עושה צחוק מעצמך","0"
"זה נראה כמו זבל","1"
"יא מעפן ברמות","1"
"אתה אחד המביכים","1"
"מה אתה מתלהב יא טמבל","1"
"אתה נראה הזוי אחי","1"
"יא אהבל תירגע","1"
"אתה מדבר שטויות אחושרמוטה","1"
"זה פשוט חרטא","0"
"יא קרציה תפסיק כבר","1"
"אתה חופר ברמות","0"
"יא דפוק מה אתה עושה","1"
"זה נראה זוועה אחי","0"
"אתה אחד הלא קשורים","0"
"יא מביך תוריד פרופיל","0"
"יא סתום תשתוק כבר","1"
"מה זה הבולשיט הזה","1"
"אתה נראה עלוב","1"
"יא גנוב מה עובר עליך","0"
"אתה מבזבז זמן לכולם","0"
"יא דביל זה לא עובד","1"
"זה נראה כמו עבודה של ילד","0"
"יא חסר מושג","0"
"אתה נראה אבוד לגמרי","0"
"מה אתה מדבר שטויות","0"
"יא סתום אין לך מושג","1"
"יא מביך ברמות אחרות","1"
"מה זה הזבל הזה אחי","1"
"יא טמבל תתאפס על עצמך","1"
"אתה נשמע מטומטם","1"
"זה פשוט לא רמה","0"
"יא אפס זה מביך","1"
"אתה פשוט לא שווה","0"
"מה אתה מנסה בכלל","0"
"זה נראה רע אחושרמוטה","1"
"אתה פשוט לא מבין את זה","0"
"יא דפוק זה לא עובד","1"
"אתה אחד המביכים שראיתי","1"
"זה פשוט מביך לראות","0"
"יא מעפן תתקדם","1"
"אתה נראה טיפש","1"
"מה אתה חי בסרט","0"
"יא סתום אתה טועה","1"
"אתה פשוט לא בכיוון בכלל","0"
"יא חופר נמאסת","0"
"זה נראה כמו פדיחה רצינית","0"
"אתה נשמע לא רציני","0"
"יא דביל תפסיק כבר","1"
"אתה עושה פדיחות לעצמך","0"
"זה נראה לא מקצועי בכלל","0"
"יא סתום מה אתה מבין","1"
"אתה נראה כמו טעות","1"
"יא אהבל תבדוק לפני שאתה מדבר","1"
"אתה פשוט לא שם","0"
"זה נראה על הפנים","0"
"יא גמור אתה לא מבין כלום","0"
"אתה נשמע הזוי לגמרי","0"
"זה נראה כמו חרטא אחת גדולה","0"
"יא טמבל תפסיק לבלבל","1"
"זה נראה מביך אחי","0"
"יא מעפן זה לא עובד","0"
"אתה נראה כאילו אין לך מושג","0"
"מה זה השטויות האלה ברצינות","0"
"יא סתום אתה לא בכיוון","1"
"יא דביל תשתוק כבר","1"
"אתה אחד הלא רציניים","0"
"זה פשוט לא טוב בכלל","0"
"יא חופר תפסיק","0"
"זה נראה גרוע אחושרמוטה","1"
"יא טמבל אין לך מושג","1"
"זה נראה לא טוב בכלל","0"
"יא סתום תפסיק כבר","1"
"זה נראה פח","0"
"יא מביך תפסיק כבר","1"
"אתה נראה חסר מושג","0"
"זה פשוט מביך לגמרי","0"
"את סתומה",1
"איזה דביל אתה",1
"את ממש מטומטמת",1
"יא אהבל מה נסגר איתך",1
"את פשוט אפס",1
"את זבל של בן אדם",1
"יא דפוק תתעורר",1
"את מביכה ברמות",1
"את עלובה",1
"את לא שווה כלום",1
"יא ליצן תירגע",0
"יא מעפן תפסיק כבר",1
"אתה נראה מגוחך",0
"יא גמור מה יש לך",0
"אתה פשוט פח",1
"יא קרציה תפסיק",0
"אתה מביך אחושרמוטה",1
"נועה את ילדה שבורה",1
"איזה דור של שבורים",1
"את מסכנה ברמות",1
"את נשמעת טיפשה",1
"את פשוט לא חכמה",0
"נשמה טובה",0
"את נשמה טובה באמת",0
"את נשמה אבל אהבלה",1
"ילד טוב אתה",0
"אתה ילד טוב אבל קצת טיפש",1
"איזה חמוד אתה",0
"את אחלה",0
"איזה ילד מהמם","0"
"פשוט מושלם ילד נחת","0"
"את אחלה אבל סתומה",1
"איזה ילד מהמם יש לך","0"
"את יפה ממש","0"
"יא מהממת , איזה שווה","0"
"יואו איזה מצחיקים אתם","0"
"זה נראה כמו זבל",1
"זה נראה פח",1
"זה פשוט חרא",1
"זה חרא של דבר",1
"זה נראה זוועה",1
"זה נראה על הפנים",1

"אתה נראה חסר מושג",1
"אתה נשמע לא רציני",1
"אתה פשוט לא בכיוון",1
"אתה נראה אבוד",1
"אתה לא מבין כלום",1

"יא מעפן זה לא עובד",1
"יא גנוב מה עובר עליך",1
"יא חסר מושג",1
"יא קרציה תפסיק",1

"זה פשוט לא רמה",1
"זה נראה מביך",1
"זה מביך לראות",1
"את חמודה ממש",0
"את יפה ממש",0
"נשמה זה היה מעולה",0
"זה היה קולע",0
"זה דווקא מסקרן",0
"זה היה סביר פלוס",0
"זה ממש מצחיק",0
"וואי אני פיפי זה קורע",0
"איזה פחד",0
"אני מתה מצחוק",0
"זה קורע ברמות",0
"את חמודה ממש",0
"את חמודה אבל סתומה",1

"ילד טוב אתה",0
"ילד טוב אבל טיפש",1

"נשמה טובה",0
"נשמה אבל אין לך שכל אתה מפגר",1

"את אחלה",0
"את אחלה אבל שרמוטה",1
